Altitude,Theta,Hour,Month,Day,GSD,North,South,West,East,Background Temperature
444.7506816725527,12.58925765053534,02:00,6,25,73.31055192404715,40.829036,40.828186,14.144192662816732,14.145566662816734,294.08056640625
458.6940105509466,20.555179019051568,15:00,6,28,75.60890283806812,40.829036,40.828186,14.144165376973042,14.145539376973042,298.591552734375
458.5542420272723,14.222583494582118,15:00,6,28,75.5858640704295,40.829036,40.828186,14.144165650487505,14.145539650487503,298.591552734375
446.8982221761526,4.65321196083702,02:00,7,3,73.66454211694824,40.829036,40.828186,14.144188460272634,14.145562460272634,296.348388671875
460.5802949789168,20.44250835569285,15:00,7,3,75.9198288426786,40.829036,40.828186,14.144161685683644,14.145535685683646,295.5166015625
460.3720947850879,10.634099137579522,15:00,7,3,75.88551012941008,40.829036,40.828186,14.144162093112746,14.145536093112746,295.5166015625
448.7484018802925,19.18476594592804,02:00,7,8,73.9695167934548,40.829036,40.828186,14.144184839636942,14.145558839636942,296.801513671875
449.3921397063095,20.877748698566712,02:00,7,8,74.07562742411695,40.829036,40.828186,14.144183579899767,14.14555757989977,296.801513671875
450.4060466467654,23.77957019015466,02:00,7,11,74.24275494177452,40.829036,40.828186,14.14418159577485,14.14555559577485,298.323486328125
461.7723383866933,10.082570036535104,15:00,7,11,76.11631951429011,40.829036,40.828186,14.14415935296164,14.14553335296164,301.280517578125
461.4260989227569,22.9259950205701,15:00,7,11,76.05924707517971,40.829036,40.828186,14.144160030521208,14.145534030521208,301.280517578125
452.7886056025891,19.349119268525477,02:00,7,16,74.63548443998721,40.829036,40.828186,14.144176933320724,14.145550933320724,298.94384765625
453.4593943996824,7.8823842688638575,02:00,7,16,74.74605402192567,40.829036,40.828186,14.144175620647228,14.145549620647229,298.94384765625
461.6765200406444,14.821779284211845,15:00,7,16,76.1005252814249,40.829036,40.828186,14.144159540469548,14.145533540469549,301.64990234375
461.235989386757,16.810329945325936,15:00,7,16,76.02791033847643,40.829036,40.828186,14.144160402548517,14.145534402548517,301.64990234375
455.9738542721343,16.54492134769111,02:00,7,21,75.16052542947268,40.829036,40.828186,14.144170700074842,14.145544700074842,298.22265625
457.5832385103604,22.087585567495022,02:00,7,24,75.42580854566378,40.829036,40.828186,14.144167550654274,14.145541550654274,298.7802734375
459.3459963480682,12.142934245600808,15:00,7,24,75.71637302440683,40.829036,40.828186,14.144164101095331,14.145538101095331,300.7138671875
458.7748891867705,21.26096312331097,15:00,7,24,75.6222344813358,40.829036,40.828186,14.14416521870081,14.14553921870081,300.7138671875
458.8769210103055,19.44368468611059,02:00,7,29,75.63905291378663,40.829036,40.828186,14.144165019033684,14.145539019033684,299.73095703125
459.4422100964775,8.61296791415607,02:00,7,29,75.7322324334853,40.829036,40.828186,14.144163912813656,14.145537912813657,299.73095703125
457.301197414723,14.332015064430408,15:00,7,29,75.37931825517411,40.829036,40.828186,14.144168102583397,14.145542102583397,303.25634765625
456.6693570245943,15.628522715905028,15:00,7,29,75.27516874031774,40.829036,40.828186,14.144169339038353,14.145543339038351,303.25634765625
